Algorithm,DataType,Size,AvgTime(ms)
"Bubble Sort","Partially Sorted (10%)",1000,0.459700
"Bubble Sort","Partially Sorted (10%)",5000,12.038100
"Bubble Sort","Partially Sorted (10%)",10000,47.975000
"Bubble Sort","Partially Sorted (10%)",20000,208.905300
"Bubble Sort","Partially Sorted (10%)",50000,1250.361000
"Bubble Sort","Partially Sorted (10%)",100000,5172.018500
"Bubble Sort","Random",1000,1.479800
"Bubble Sort","Random",5000,36.902400
"Bubble Sort","Random",10000,150.645400
"Bubble Sort","Random",20000,619.622600
"Bubble Sort","Random",50000,4989.067200
"Bubble Sort","Random",100000,21927.233700
"Bubble Sort","Reversed (Desc)",1000,2.713200
"Bubble Sort","Reversed (Desc)",5000,69.366400
"Bubble Sort","Reversed (Desc)",10000,274.153300
"Bubble Sort","Reversed (Desc)",20000,1099.286500
"Bubble Sort","Reversed (Desc)",50000,6893.290300
"Bubble Sort","Reversed (Desc)",100000,27386.806600
"Bubble Sort","Sorted (Asc)",1000,0.000900
"Bubble Sort","Sorted (Asc)",5000,0.003400
"Bubble Sort","Sorted (Asc)",10000,0.006600
"Bubble Sort","Sorted (Asc)",20000,0.013100
"Bubble Sort","Sorted (Asc)",50000,0.029500
"Bubble Sort","Sorted (Asc)",100000,0.063800
"Cocktail Shaker Sort","Partially Sorted (10%)",1000,0.164900
"Cocktail Shaker Sort","Partially Sorted (10%)",5000,4.723600
"Cocktail Shaker Sort","Partially Sorted (10%)",10000,17.999500
"Cocktail Shaker Sort","Partially Sorted (10%)",20000,76.031600
"Cocktail Shaker Sort","Partially Sorted (10%)",50000,466.877400
"Cocktail Shaker Sort","Partially Sorted (10%)",100000,1889.944500
"Cocktail Shaker Sort","Random",1000,1.474000
"Cocktail Shaker Sort","Random",5000,36.260100
"Cocktail Shaker Sort","Random",10000,147.388100
"Cocktail Shaker Sort","Random",20000,649.247500
"Cocktail Shaker Sort","Random",50000,4819.770400
"Cocktail Shaker Sort","Random",100000,19961.455100
"Cocktail Shaker Sort","Reversed (Desc)",1000,2.713300
"Cocktail Shaker Sort","Reversed (Desc)",5000,69.999600
"Cocktail Shaker Sort","Reversed (Desc)",10000,273.959900
"Cocktail Shaker Sort","Reversed (Desc)",20000,1101.595700
"Cocktail Shaker Sort","Reversed (Desc)",50000,6821.715300
"Cocktail Shaker Sort","Reversed (Desc)",100000,27613.460700
"Cocktail Shaker Sort","Sorted (Asc)",1000,0.000900
"Cocktail Shaker Sort","Sorted (Asc)",5000,0.004200
"Cocktail Shaker Sort","Sorted (Asc)",10000,0.006600
"Cocktail Shaker Sort","Sorted (Asc)",20000,0.013000
"Cocktail Shaker Sort","Sorted (Asc)",50000,0.030000
"Cocktail Shaker Sort","Sorted (Asc)",100000,0.061500
"Comb Sort","Partially Sorted (10%)",1000,0.023800
"Comb Sort","Partially Sorted (10%)",5000,0.163800
"Comb Sort","Partially Sorted (10%)",10000,0.367000
"Comb Sort","Partially Sorted (10%)",20000,0.895500
"Comb Sort","Partially Sorted (10%)",50000,2.412200
"Comb Sort","Partially Sorted (10%)",100000,5.122600
"Comb Sort","Partially Sorted (10%)",200000,11.582700
"Comb Sort","Partially Sorted (10%)",500000,30.432200
"Comb Sort","Partially Sorted (10%)",1000000,61.595600
"Comb Sort","Random",1000,0.031400
"Comb Sort","Random",5000,0.198400
"Comb Sort","Random",10000,0.452500
"Comb Sort","Random",20000,0.919900
"Comb Sort","Random",50000,2.812600
"Comb Sort","Random",100000,5.765600
"Comb Sort","Random",200000,12.265400
"Comb Sort","Random",500000,33.292700
"Comb Sort","Random",1000000,70.021900
"Comb Sort","Reversed (Desc)",1000,0.012500
"Comb Sort","Reversed (Desc)",5000,0.069500
"Comb Sort","Reversed (Desc)",10000,0.148700
"Comb Sort","Reversed (Desc)",20000,0.539500
"Comb Sort","Reversed (Desc)",50000,0.855700
"Comb Sort","Reversed (Desc)",100000,1.841500
"Comb Sort","Reversed (Desc)",200000,4.893900
"Comb Sort","Reversed (Desc)",500000,11.116200
"Comb Sort","Reversed (Desc)",1000000,25.064900
"Comb Sort","Sorted (Asc)",1000,0.008300
"Comb Sort","Sorted (Asc)",5000,0.053400
"Comb Sort","Sorted (Asc)",10000,0.203600
"Comb Sort","Sorted (Asc)",20000,0.264200
"Comb Sort","Sorted (Asc)",50000,0.729500
"Comb Sort","Sorted (Asc)",100000,3.179800
"Comb Sort","Sorted (Asc)",200000,3.678300
"Comb Sort","Sorted (Asc)",500000,9.539000
"Comb Sort","Sorted (Asc)",1000000,20.869300
"Heap Sort","Partially Sorted (10%)",1000,0.032200
"Heap Sort","Partially Sorted (10%)",5000,0.179600
"Heap Sort","Partially Sorted (10%)",10000,0.378200
"Heap Sort","Partially Sorted (10%)",20000,0.749800
"Heap Sort","Partially Sorted (10%)",50000,2.069500
"Heap Sort","Partially Sorted (10%)",100000,3.977800
"Heap Sort","Partially Sorted (10%)",200000,9.731200
"Heap Sort","Partially Sorted (10%)",500000,23.067800
"Heap Sort","Partially Sorted (10%)",1000000,50.350500
"Heap Sort","Random",1000,0.039300
"Heap Sort","Random",5000,0.262300
"Heap Sort","Random",10000,0.500400
"Heap Sort","Random",20000,1.095100
"Heap Sort","Random",50000,2.957900
"Heap Sort","Random",100000,6.786500
"Heap Sort","Random",200000,15.201300
"Heap Sort","Random",500000,39.898000
"Heap Sort","Random",1000000,96.232900
"Heap Sort","Reversed (Desc)",1000,0.030100
"Heap Sort","Reversed (Desc)",5000,0.170000
"Heap Sort","Reversed (Desc)",10000,0.430600
"Heap Sort","Reversed (Desc)",20000,0.722400
"Heap Sort","Reversed (Desc)",50000,1.970300
"Heap Sort","Reversed (Desc)",100000,4.004200
"Heap Sort","Reversed (Desc)",200000,8.505800
"Heap Sort","Reversed (Desc)",500000,22.503500
"Heap Sort","Reversed (Desc)",1000000,67.514900
"Heap Sort","Sorted (Asc)",1000,0.042500
"Heap Sort","Sorted (Asc)",5000,0.200000
"Heap Sort","Sorted (Asc)",10000,0.490300
"Heap Sort","Sorted (Asc)",20000,1.061000
"Heap Sort","Sorted (Asc)",50000,2.345200
"Heap Sort","Sorted (Asc)",100000,3.924600
"Heap Sort","Sorted (Asc)",200000,7.322100
"Heap Sort","Sorted (Asc)",500000,18.854100
"Heap Sort","Sorted (Asc)",1000000,44.429100
"Insertion Sort","Partially Sorted (10%)",1000,0.012400
"Insertion Sort","Partially Sorted (10%)",5000,0.273300
"Insertion Sort","Partially Sorted (10%)",10000,0.952500
"Insertion Sort","Partially Sorted (10%)",20000,5.621500
"Insertion Sort","Partially Sorted (10%)",50000,24.682700
"Insertion Sort","Partially Sorted (10%)",100000,95.766200
"Insertion Sort","Random",1000,0.088400
"Insertion Sort","Random",5000,1.793700
"Insertion Sort","Random",10000,7.285100
"Insertion Sort","Random",20000,31.357900
"Insertion Sort","Random",50000,183.735300
"Insertion Sort","Random",100000,752.454800
"Insertion Sort","Reversed (Desc)",1000,0.181200
"Insertion Sort","Reversed (Desc)",5000,3.936000
"Insertion Sort","Reversed (Desc)",10000,15.198500
"Insertion Sort","Reversed (Desc)",20000,58.910700
"Insertion Sort","Reversed (Desc)",50000,368.146800
"Insertion Sort","Reversed (Desc)",100000,1530.974300
"Insertion Sort","Sorted (Asc)",1000,0.000900
"Insertion Sort","Sorted (Asc)",5000,0.003400
